id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon,1h8c,0,regression,-2.10343,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:20:13,20.9,18.2,0.1,12,944863686,,1.52328,5,0.571052,2.10343,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,1,regression,-2.07976,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:22:34,21.9,19.1,0.2,12,944863687,,1.41963,6,0.589525,2.07976,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,2,regression,-2.05027,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:17:09,16.9,14.0,0.4,12,944863688,,1.46945,7,0.600091,2.05027,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,3,regression,-2.04192,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:19:08,16.8,14.2,0.2,12,944863689,,1.4472,5,0.609014,2.04192,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,4,regression,-2.31749,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:17:50,15.3,13.1,0.0,12,944863690,,1.57627,4,0.561997,2.31749,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,5,regression,-2.03905,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:20:15,15.6,13.1,0.2,12,944863691,,1.43749,5,0.617944,2.03905,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,6,regression,-1.94948,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:19:39,19.1,16.3,0.1,12,944863692,,1.3835,3,0.594441,1.94948,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,7,regression,-1.85968,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:20:38,19.7,17.1,0.2,12,944863693,,1.33067,5,0.62055,1.85968,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,8,regression,-2.13679,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:21:56,18.1,15.6,0.0,12,944863694,,1.49819,3,0.563505,2.13679,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,9,regression,-2.07467,neg_rmse,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:20:06,17.9,15.3,0.0,12,944863695,,1.49535,3,0.554202,2.07467,,,,
openml.org/t/190411,ada,AutoGluon,1h8c,0,binary,0.931634,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:18:20,22.6,18.5,0.5,14,944863686,,,8,,,0.877108,0.931634,0.794701,0.287553
openml.org/t/190411,ada,AutoGluon,1h8c,1,binary,0.93459,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:19:38,21.5,17.8,0.5,14,944863687,,,7,,,0.862651,0.93459,0.778582,0.28259
openml.org/t/190411,ada,AutoGluon,1h8c,2,binary,0.895849,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:23:17,20.5,16.9,0.7,14,944863688,,,12,,,0.857831,0.895849,0.759118,0.347602
openml.org/t/190411,ada,AutoGluon,1h8c,3,binary,0.920805,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:20:26,21.3,17.8,0.3,14,944863689,,,5,,,0.860241,0.920805,0.763972,0.307696
openml.org/t/190411,ada,AutoGluon,1h8c,4,binary,0.944019,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:19:36,21.1,17.7,0.2,14,944863690,,,6,,,0.898795,0.944019,0.851397,0.264538
openml.org/t/190411,ada,AutoGluon,1h8c,5,binary,0.916604,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:19:35,21.0,17.5,0.4,14,944863691,,,8,,,0.855422,0.916604,0.777026,0.303253
openml.org/t/190411,ada,AutoGluon,1h8c,6,binary,0.884709,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:23:07,21.9,18.2,0.5,14,944863692,,,8,,,0.840964,0.884709,0.760907,0.356751
openml.org/t/190411,ada,AutoGluon,1h8c,7,binary,0.908938,auc,aws,0.3.1b20210827,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T17:22:41,22.5,19.1,0.1,14,944863693,,,5,,,0.833333,0.908938,0.762448,0.318614
