id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,0,regression,-2.10545,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T08:58:39,6152.3,6012.0,56.5,24.0,1685163450,,1.50457,16.0,0.570227,2.10545,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,1,regression,-2.01982,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T08:57:56,6151.6,6017.9,54.2,24.0,1685163451,,1.37062,16.0,0.612842,2.01982,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,2,regression,-2.00616,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:06:33,6690.9,6544.4,60.3,24.0,1685163452,,1.46009,16.0,0.617113,2.00616,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,3,regression,-2.04367,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:16:16,7271.7,7096.5,79.1,24.0,1685163453,,1.4484,15.0,0.608343,2.04367,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,4,regression,-2.33494,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:00:59,6238.5,6114.4,46.1,24.0,1685163454,,1.57146,15.0,0.555376,2.33494,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,5,regression,-2.06684,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:05:05,6538.0,6391.1,70.9,24.0,1685163455,,1.45794,19.0,0.607462,2.06684,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,6,regression,-1.9298,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:18:37,7074.7,6902.2,79.4,24.0,1685163456,,1.36601,16.0,0.602586,1.9298,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,7,regression,-1.89238,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:00:36,6211.9,6056.5,68.6,24.0,1685163457,,1.33735,15.0,0.607089,1.89238,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,8,regression,-2.12835,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T08:53:07,5880.3,5735.6,69.7,24.0,1685163458,,1.4619,17.0,0.566946,2.12835,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,9,regression,-2.10708,neg_rmse,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T09:05:07,6580.0,6432.2,69.8,24.0,1685163459,,1.50613,15.0,0.540167,2.10708,,,,
openml.org/t/190411,ada,AutoGluon_bestquality,4h8c,0,binary,0.935804,auc,aws,0.3.1b20210827,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-27T08:45:44,5439.2,5263.7,81.8,28.0,1685163450,,,17.0,,,0.889157,0.935804,0.822224,0.273282
