id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,autosklearn2,1h8c,0,regression,-2.10859,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:59,3656.3,3610.9,0.3,8.0,1895865529,,1.53159,,0.568946,2.10859,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,1,regression,-2.06194,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:46,3643.1,3597.2,0.5,11.0,1895865530,,1.40403,,0.596527,2.06194,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,2,regression,-2.03354,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:52,3647.2,3602.1,0.3,7.0,1895865531,,1.48997,,0.606591,2.03354,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,3,regression,-2.04515,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:54,3650.4,3605.6,0.4,6.0,1895865532,,1.45758,,0.607774,2.04515,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,4,regression,-2.29516,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:48:02,3649.0,3606.8,0.2,7.0,1895865533,,1.54429,,0.570398,2.29516,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,5,regression,-2.09263,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:48,3645.0,3599.4,0.4,10.0,1895865534,,1.48001,,0.597604,2.09263,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,6,regression,-1.92387,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:54,3651.7,3606.3,0.3,6.0,1895865535,,1.36678,,0.605027,1.92387,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,7,regression,-1.88263,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:46:13,3649.9,3603.8,0.5,10.0,1895865536,,1.33004,,0.611127,1.88263,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,8,regression,-2.09903,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:51,3647.3,3605.4,0.4,11.0,1895865537,,1.47559,,0.578793,2.09903,,,,
openml.org/t/359944,abalone,autosklearn2,1h8c,9,regression,-2.08849,neg_rmse,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:50,3642.4,3597.2,0.3,8.0,1895865538,,1.48913,,0.548245,2.08849,,,,
openml.org/t/190411,ada,autosklearn2,1h8c,0,binary,0.933315,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:44:29,3660.9,3615.9,0.2,11.0,1895865529,,,,,,0.881928,0.933315,0.843431,0.279525
openml.org/t/190411,ada,autosklearn2,1h8c,1,binary,0.938262,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:45:17,3648.5,3601.1,1.1,17.0,1895865530,,,,,,0.881928,0.938262,0.827172,0.27885
openml.org/t/190411,ada,autosklearn2,1h8c,2,binary,0.903908,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:44:18,3649.0,3601.2,0.9,13.0,1895865531,,,,,,0.862651,0.903908,0.794841,0.328196
openml.org/t/190411,ada,autosklearn2,1h8c,3,binary,0.920681,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:44:31,3679.8,3634.3,0.3,16.0,1895865532,,,,,,0.86506,0.920681,0.78994,0.300312
openml.org/t/190411,ada,autosklearn2,1h8c,4,binary,0.944642,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:46:30,3637.8,3596.7,0.4,12.0,1895865533,,,,,,0.891566,0.944642,0.849841,0.260368
openml.org/t/190411,ada,autosklearn2,1h8c,5,binary,0.919778,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:45:18,3648.0,3606.1,0.4,13.0,1895865534,,,,,,0.872289,0.919778,0.824014,0.302323
openml.org/t/190411,ada,autosklearn2,1h8c,6,binary,0.88169,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:48,3640.8,3599.3,0.6,11.0,1895865535,,,,,,0.836145,0.88169,0.780464,0.359866
openml.org/t/190411,ada,autosklearn2,1h8c,7,binary,0.911373,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:43:49,3643.1,3597.2,0.9,14.0,1895865536,,,,,,0.864734,0.911373,0.832048,0.322046
openml.org/t/190411,ada,autosklearn2,1h8c,8,binary,0.92592,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:45:35,3646.5,3601.4,0.6,10.0,1895865537,,,,,,0.862319,0.92592,0.797974,0.293061
openml.org/t/190411,ada,autosklearn2,1h8c,9,binary,0.916384,auc,aws,0.12.7,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_07_22, 173ea6b]",2021-07-22T23:46:03,3647.2,3600.7,1.7,9.0,1895865538,,,,,,0.847826,0.916384,0.767063,0.31464
