id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon,1h8c,0,regression,-2.09415,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:13,18.4,15.7,0.1,12.0,170195406,,1.51122,4.0,0.57483,2.09415,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,1,regression,-2.06128,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:15,17.9,15.3,0.1,12.0,170195407,,1.40189,4.0,0.596785,2.06128,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,2,regression,-2.06917,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:22,17.4,14.5,0.4,12.0,170195408,,1.49254,7.0,0.592683,2.06917,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,3,regression,-2.04708,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:38:33,16.1,13.5,0.2,12.0,170195409,,1.45136,6.0,0.607034,2.04708,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,4,regression,-2.32238,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:18,16.9,14.4,0.1,12.0,170195410,,1.58545,4.0,0.560146,2.32238,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,5,regression,-2.04392,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:05,17.4,14.5,0.2,12.0,170195411,,1.4416,5.0,0.616119,2.04392,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,6,regression,-1.89548,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:02,19.0,16.0,0.2,12.0,170195412,,1.33859,4.0,0.616595,1.89548,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,7,regression,-1.84883,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:10,20.7,17.9,0.2,12.0,170195413,,1.33767,5.0,0.624965,1.84883,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,8,regression,-2.12004,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:39:12,18.7,16.1,0.1,12.0,170195414,,1.47483,4.0,0.57032,2.12004,,,,
openml.org/t/359944,abalone,AutoGluon,1h8c,9,regression,-2.0788,neg_rmse,aws,0.2.1b20210816,{'_leaderboard_test': True},"dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T21:38:58,18.4,15.8,0.0,12.0,170195415,,1.50027,3.0,0.552425,2.0788,,,,
