id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,0,regression,-2.09924,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:26:37,6173.7,6037.0,55.0,24.0,2038416461,,1.49957,17.0,0.572761,2.09924,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,1,regression,-2.02058,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:28:45,6306.3,6130.6,83.3,24.0,2038416462,,1.36935,17.0,0.612553,2.02058,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,2,regression,-2.00214,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:33:01,6525.6,6381.0,58.1,24.0,2038416463,,1.45686,16.0,0.618646,2.00214,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,3,regression,-2.03647,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:44:36,7231.3,7044.6,89.4,24.0,2038416464,,1.44028,16.0,0.611098,2.03647,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,4,regression,-2.33874,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:42:25,7087.3,6935.5,61.4,24.0,2038416465,,1.56865,16.0,0.553925,2.33874,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,5,regression,-2.07336,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:37:11,6779.8,6620.6,76.6,24.0,2038416466,,1.46342,18.0,0.604981,2.07336,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,6,regression,-1.9236,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:34:11,6595.9,6469.3,46.5,24.0,2038416467,,1.36494,15.0,0.605136,1.9236,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,7,regression,-1.89596,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:36:39,6747.6,6597.1,64.9,24.0,2038416468,,1.33932,15.0,0.605602,1.89596,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,8,regression,-2.12675,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:43:47,6899.3,6732.4,77.3,24.0,2038416469,,1.46187,17.0,0.567595,2.12675,,,,
openml.org/t/359944,abalone,AutoGluon_bestquality,4h8c,9,regression,-2.10186,neg_rmse,aws,0.2.1b20210816,"{'presets': 'best_quality', '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-16T23:40:02,6913.3,6753.3,75.8,24.0,2038416470,,1.50255,17.0,0.542442,2.10186,,,,
