id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,prune_high,1h8c,0,regression,-2.1595,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:55,3537.5,3533.4,0.9,48,1255065666,,1.53526,18,0.547878,2.1595,,,,
openml.org/t/359944,abalone,prune_high,1h8c,1,regression,-2.09001,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:18,3555.7,3551.8,0.9,48,1255065667,,1.39593,17,0.585468,2.09001,,,,
openml.org/t/359944,abalone,prune_high,1h8c,2,regression,-2.08995,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:05,3477.1,3473.1,0.6,48,1255065668,,1.53197,16,0.584463,2.08995,,,,
openml.org/t/359944,abalone,prune_high,1h8c,3,regression,-2.06005,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:40,3567.3,3563.3,0.7,48,1255065669,,1.44198,16,0.602039,2.06005,,,,
openml.org/t/359944,abalone,prune_high,1h8c,4,regression,-2.38022,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:45,3508.5,3504.7,0.6,48,1255065670,,1.58541,16,0.537963,2.38022,,,,
openml.org/t/359944,abalone,prune_high,1h8c,5,regression,-2.07955,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:29,3526.3,3522.3,0.8,48,1255065671,,1.48477,17,0.602616,2.07955,,,,
openml.org/t/359944,abalone,prune_high,1h8c,6,regression,-2.00299,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:22,3523.1,3519.5,0.7,48,1255065672,,1.44886,15,0.571869,2.00299,,,,
openml.org/t/359944,abalone,prune_high,1h8c,7,regression,-1.91703,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:28:49,3553.7,3549.5,0.8,48,1255065673,,1.37108,16,0.596785,1.91703,,,,
openml.org/t/359944,abalone,prune_high,1h8c,8,regression,-2.13877,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:02,3430.2,3426.2,0.9,48,1255065674,,1.47613,18,0.562694,2.13877,,,,
openml.org/t/359944,abalone,prune_high,1h8c,9,regression,-2.10418,neg_rmse,aws,0.3.1b20210829,"{'presets': 'high_quality_fast_inference_only_refit', 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 7cfb67d]",2021-08-30T00:27:53,3470.0,3466.1,0.9,48,1255065675,,1.51335,18,0.54143,2.10418,,,,
