id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,prune_med,1h8c,0,regression,-2.10116,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:13,20.6,18.1,0.1,12.0,1058391827,,1.50783,5.0,0.571978,2.10116,,,,
openml.org/t/359944,abalone,prune_med,1h8c,1,regression,-2.083,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:53,44.3,41.7,0.1,12.0,1058391828,,1.42301,5.0,0.588244,2.083,,,,
openml.org/t/359944,abalone,prune_med,1h8c,2,regression,-2.04892,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:36,18.5,15.6,0.5,12.0,1058391829,,1.47324,6.0,0.600616,2.04892,,,,
openml.org/t/359944,abalone,prune_med,1h8c,3,regression,-2.03483,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:35,18.0,15.4,0.2,12.0,1058391830,,1.43482,6.0,0.611723,2.03483,,,,
openml.org/t/359944,abalone,prune_med,1h8c,4,regression,-2.30213,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:44,18.8,16.2,0.1,12.0,1058391831,,1.56161,4.0,0.567783,2.30213,,,,
openml.org/t/359944,abalone,prune_med,1h8c,5,regression,-2.04417,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:04:58,19.3,16.6,0.2,12.0,1058391832,,1.44928,5.0,0.616024,2.04417,,,,
openml.org/t/359944,abalone,prune_med,1h8c,6,regression,-1.94256,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:05:04,19.0,16.4,0.2,12.0,1058391833,,1.36713,5.0,0.597314,1.94256,,,,
openml.org/t/359944,abalone,prune_med,1h8c,7,regression,-1.86446,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:05:02,20.3,17.8,0.1,12.0,1058391834,,1.33347,5.0,0.618597,1.86446,,,,
openml.org/t/359944,abalone,prune_med,1h8c,8,regression,-2.15268,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:05:05,19.3,16.8,0.0,12.0,1058391835,,1.5028,3.0,0.556987,2.15268,,,,
openml.org/t/359944,abalone,prune_med,1h8c,9,regression,-2.06247,neg_rmse,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:05:28,19.3,16.8,0.1,12.0,1058391836,,1.49213,4.0,0.559432,2.06247,,,,
openml.org/t/190411,ada,prune_med,1h8c,0,binary,0.93039,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:28,63.0,58.9,0.6,14.0,1058391827,,,10.0,,,0.877108,0.93039,0.801204,0.28652
openml.org/t/190411,ada,prune_med,1h8c,1,binary,0.936053,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:10,43.6,40.0,0.5,14.0,1058391828,,,7.0,,,0.860241,0.936053,0.773727,0.277419
openml.org/t/190411,ada,prune_med,1h8c,2,binary,0.896347,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:10,42.8,39.3,0.3,14.0,1058391829,,,6.0,,,0.862651,0.896347,0.77533,0.34421
openml.org/t/190411,ada,prune_med,1h8c,3,binary,0.922299,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:03,26.8,23.0,0.6,14.0,1058391830,,,8.0,,,0.862651,0.922299,0.768826,0.307248
openml.org/t/190411,ada,prune_med,1h8c,4,binary,0.944019,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:47,59.2,56.0,0.2,14.0,1058391831,,,6.0,,,0.901205,0.944019,0.862755,0.258029
openml.org/t/190411,ada,prune_med,1h8c,5,binary,0.916916,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:06:20,26.2,22.5,0.8,14.0,1058391832,,,11.0,,,0.860241,0.916916,0.776979,0.305054
openml.org/t/190411,ada,prune_med,1h8c,6,binary,0.883526,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:07:05,62.3,58.8,0.3,14.0,1058391833,,,5.0,,,0.848193,0.883526,0.768966,0.355146
openml.org/t/190411,ada,prune_med,1h8c,7,binary,0.908438,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:07:21,63.7,59.9,0.7,14.0,1058391834,,,11.0,,,0.830918,0.908438,0.7511,0.320493
openml.org/t/190411,ada,prune_med,1h8c,8,binary,0.921175,auc,aws,0.3.1b20210828,"{'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:07:33,63.0,59.5,0.4,14.0,1058391835,,,8.0,,,0.855072,0.921175,0.780164,0.301098
