id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,prune_norepeat,1h8c,0,regression,-2.10825,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:11:24,451.3,441.5,3.7,24,563332519,,1.49755,18,0.569086,2.10825,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,1,regression,-2.05383,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:11:44,455.8,444.4,4.3,24,563332520,,1.38824,16,0.599696,2.05383,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,2,regression,-2.00563,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:12:14,466.1,456.0,3.9,24,563332521,,1.46605,17,0.617316,2.00563,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,3,regression,-2.04833,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:12:50,470.5,459.1,4.5,24,563332522,,1.44071,18,0.606554,2.04833,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,4,regression,-2.33544,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:09:04,275.7,264.1,4.7,24,563332523,,1.56938,19,0.555185,2.33544,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,5,regression,-2.07334,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:11:58,449.1,437.7,4.5,24,563332524,,1.4574,18,0.604988,2.07334,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,6,regression,-1.92411,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:11:55,439.7,429.7,3.7,24,563332525,,1.36204,18,0.604926,1.92411,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,7,regression,-1.89359,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:11:55,428.7,418.6,3.9,24,563332526,,1.3326,17,0.606587,1.89359,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,8,regression,-2.12376,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:12:35,442.7,431.6,4.3,24,563332527,,1.44705,19,0.568813,2.12376,,,,
openml.org/t/359944,abalone,prune_norepeat,1h8c,9,regression,-2.08587,neg_rmse,aws,0.3.1b20210828,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'n_train_subsample': 50000, 'n_fi_subsample': 5000, 'min_fi_samples': 10000}}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 335536f]",2021-08-28T19:09:33,266.9,255.2,4.6,24,563332528,,1.49496,18,0.549375,2.08587,,,,
