id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,0,regression,-2.12167,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:48:44,3212.2,3060.5,73.0,24.0,1575051086,,1.50905,18.0,0.56358,2.12167,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,1,regression,-2.01599,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:45:05,2982.2,2845.2,65.3,24.0,1575051087,,1.36796,16.0,0.61431,2.01599,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,2,regression,-2.00754,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:45:07,2993.1,2860.1,63.5,24.0,1575051088,,1.45364,18.0,0.616584,2.00754,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,3,regression,-2.03473,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:55:37,3611.5,3399.9,120.1,24.0,1575051089,,1.4411,17.0,0.611761,2.03473,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,4,regression,-2.34848,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:45:55,3029.8,2890.2,66.9,24.0,1575051090,,1.5837,18.0,0.550203,2.34848,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,5,regression,-2.07813,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:50:44,3301.9,3160.4,68.4,24.0,1575051091,,1.46432,19.0,0.603162,2.07813,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,6,regression,-1.92096,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:49:04,3219.7,3057.7,77.9,24.0,1575051092,,1.35286,17.0,0.606219,1.92096,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,7,regression,-1.89439,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:57:58,3734.2,3511.3,116.5,24.0,1575051093,,1.33457,16.0,0.606254,1.89439,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,8,regression,-2.10987,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:48:04,3003.6,2869.6,63.0,24.0,1575051094,,1.45046,17.0,0.574435,2.10987,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power,1h8c,9,regression,-2.10018,neg_rmse,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:55:07,3548.6,3393.1,68.4,24.0,1575051095,,1.49472,16.0,0.543172,2.10018,,,,
openml.org/t/190411,ada,AutoGluon_autoprune_power,1h8c,0,binary,0.93708,auc,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:47:24,3077.9,2865.6,102.9,28.0,1575051086,,,22.0,,,0.881928,0.93708,0.814165,0.26676
openml.org/t/190411,ada,AutoGluon_autoprune_power,1h8c,1,binary,0.937516,auc,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:59:12,3795.6,3469.8,172.2,28.0,1575051087,,,17.0,,,0.877108,0.937516,0.804456,0.273459
openml.org/t/190411,ada,AutoGluon_autoprune_power,1h8c,2,binary,0.901419,auc,aws,0.2.1b20210814,"{'presets': 'best_quality', 'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 15e020f]",2021-08-14T08:58:36,3749.9,3414.6,194.7,28.0,1575051088,,,24.0,,,0.86747,0.901419,0.801298,0.331211
