id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,0,regression,-2.09488,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:18,23.0,20.4,0.1,12.0,305275611,,1.49612,5.0,0.574535,2.09488,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,1,regression,-2.07182,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:20,21.7,19.0,0.1,12.0,305275612,,1.42711,5.0,0.592653,2.07182,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,2,regression,-2.083,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:30,23.0,20.1,0.4,12.0,305275613,,1.49305,6.0,0.587222,2.083,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,3,regression,-2.02997,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:31,22.2,19.5,0.2,12.0,305275614,,1.4582,5.0,0.613577,2.02997,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,4,regression,-2.29875,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:45:53,23.6,21.0,0.1,12.0,305275615,,1.58148,3.0,0.569051,2.29875,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,5,regression,-2.0502,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:51,22.6,19.8,0.2,12.0,305275616,,1.45087,5.0,0.613757,2.0502,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,6,regression,-1.92036,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:46,22.8,20.1,0.2,12.0,305275617,,1.3641,4.0,0.606466,1.92036,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,7,regression,-1.86683,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:58,25.5,22.7,0.2,12.0,305275618,,1.33288,5.0,0.617625,1.86683,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,8,regression,-2.15317,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:44:00,23.7,21.0,0.0,12.0,305275619,,1.50672,3.0,0.556787,2.15317,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune,4h8c,9,regression,-2.07744,neg_rmse,aws,0.2.1b20210815,"{'ag_args': {'feature_prune_kwargs': {'max_fits': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, c849f99]",2021-08-15T06:43:58,22.5,20.0,0.1,12.0,305275620,,1.48693,4.0,0.553013,2.07744,,,,
