id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,0,regression,-2.10438,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:26:51,497.5,477.3,8.1,24.0,1179849594,,1.49729,18.0,0.570667,2.10438,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,1,regression,-2.06784,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:47:55,725.8,704.7,8.3,24.0,1179849595,,1.38878,18.0,0.594216,2.06784,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,2,regression,-2.02154,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:39:26,724.6,703.8,8.3,24.0,1179849596,,1.46963,18.0,0.611219,2.02154,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,3,regression,-2.04487,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:23:01,865.1,846.2,6.7,24.0,1179849597,,1.44028,16.0,0.607881,2.04487,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,4,regression,-2.32429,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:40:05,709.5,689.1,7.9,24.0,1179849598,,1.57354,17.0,0.559422,2.32429,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,5,regression,-2.06337,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:34:48,665.9,644.9,8.6,24.0,1179849599,,1.45082,18.0,0.608778,2.06337,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,6,regression,-1.91672,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:40:14,864.3,843.7,8.2,24.0,1179849600,,1.35924,18.0,0.607957,1.91672,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,7,regression,-1.89286,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:20:41,675.1,657.2,6.3,24.0,1179849601,,1.33119,16.0,0.606891,1.89286,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,8,regression,-2.12108,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:24:56,781.7,760.6,8.2,24.0,1179849602,,1.4558,18.0,0.5699,2.12108,,,,
openml.org/t/359944,abalone,AutoGluon_autoprune_power_norepeat,4h8c,9,regression,-2.08551,neg_rmse,aws,0.2.1b20210813,"{'presets': 'best_quality', 'num_bag_sets': 1, 'ag_args': {'feature_prune_kwargs': {'max_num_fit': 10, 'stop_threshold': 10, 'prune_ratio': 0.05, 'prune_threshold': None, 'train_subsample_size': 50000, 'fi_subsample_size': 5000, 'min_fi_samples': 10000}}, 'ag_args_ensemble': {'use_child_oof': False}, '_leaderboard_test': True}","dev [https://github.com/truebluejason/automlbenchmark, proxy-select, 9336bc7]",2021-08-13T02:30:11,696.0,673.2,9.1,24.0,1179849603,,1.49168,18.0,0.549534,2.08551,,,,
